Code	Classification
77700634	FROZEN
77700635	EKO
77700636	CUSTOMER
77700637	POTENTIAL
77700638	FROZEN
77700639	FROZEN
77700640	CLOSED
77700641	ENGAGE
77700642	FROZEN
77700643	CLOSED
77700644	POTENTIAL
77700645	CLOSED
77700646	FROZEN
77700647	CLOSED
77700648	CLOSED
77700649	CLOSED
77700650	CLOSED
77700651	CLOSED
77700652	CLOSED
77700653	CLOSED
77700654	CLOSED
77700655	CUSTOMER
77700656	CLOSED
77700657	FROZEN
77700658	CLOSED
77700659	FROZEN
77700660	CLOSED
77700661	CLOSED
77700662	CLOSED
77700663	CLOSED
77700664	POTENTIAL
77700665	CUSTOMER
77700666	POTENTIAL
77700667	POTENTIAL
77700668	CLOSED
77700669	FROZEN
77700670	CLOSED
77700671	CLOSED
77700672	CLOSED
77700673	CLOSED
77700674	CLOSED
77700675	CLOSED
77700676	CLOSED
77700677	CUSTOMER
77700678	CLOSED
77700679	CUSTOMER
77700680	CLOSED
77700681	FROZEN
77700682	CLOSED
77700683	CLOSED
77700684	FROZEN
77700685	POTENTIAL
77700686	POTENTIAL
77700687	CLOSED
77700688	CLOSED
77700689	CLOSED
77700690	CUSTOMER
77700691	CUSTOMER
77700692	CLOSED
77700693	FROZEN
77700694	FROZEN
77700695	CLOSED
77700696	POTENTIAL
77700697	POTENTIAL
77700698	CUSTOMER
77700699	CLOSED
77700700	CUSTOMER
77700701	CUSTOMER
77700702	FROZEN
77700703	FROZEN
77700704	POTENTIAL
77700705	CUSTOMER
77700706	CUSTOMER
77700707	POTENTIAL
77700708	POTENTIAL
77700709	CLOSED
77700710	CUSTOMER
77700711	CLOSED
77700712	CUSTOMER
77700713	POTENTIAL
77700714	CLOSED
77700715	CLOSED
77700716	FROZEN
77700717	CUSTOMER
77700718	FROZEN
77700719	ENGAGE
77700720	FROZEN
77700721	ENGAGE
77700722	FROZEN
77700723	FROZEN
77700724	FROZEN
77700725	ENGAGE
77700726	CUSTOMER
77700727	FROZEN
77700728	EKO
77700729	CLOSED
77700730	FROZEN
77700731	FROZEN
77700732	POTENTIAL
77700733	CLOSED
77700734	CLOSED
77700735	CLOSED
77700736	FROZEN
77700737	CUSTOMER
77700738	CUSTOMER
77700739	CLOSED
77700740	CLOSED
77700741	CUSTOMER
77700742	CLOSED
77700743	CLOSED
77700744	CUSTOMER
77700745	FROZEN
77700746	CLOSED
77700747	CLOSED
77700748	FROZEN
77700749	CUSTOMER
77700750	CLOSED
77700751	CUSTOMER
77700752	CUSTOMER
77700753	CUSTOMER
77700754	CLOSED
77700755	FROZEN
77700756	FROZEN
77700757	CUSTOMER
77700758	CLOSED
77700759	POTENTIAL
77700760	CLOSED
77700761	FROZEN
77700762	CLOSED
77700763	CLOSED
77700764	CUSTOMER
77700765	CLOSED
77700766	CLOSED
77700767	CLOSED
77700768	CUSTOMER
77700769	CLOSED
77700770	CLOSED
77700771	CLOSED
77700772	CLOSED
77700773	CLOSED
77700774	CLOSED
77700775	CLOSED
77700776	CLOSED
77700777	CLOSED
77700778	PETROLINA
77700779	PETROLINA
77700780	PETROLINA
77700781	PETROLINA
77700782	PETROLINA
77700783	PETROLINA
77700784	PETROLINA
77700785	PETROLINA
